dataset,pipeline,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_har_data,amplitude,RandomForest,1,0.1031,0.0,0.1031,0.0,0.087,0.0,0.087,0.0,0.0802,0.0,0.1031,0.0,0.0802,0.0,0.1031,0.0,-0.0464,0.0,-0.0494,0.0,0.4718,0.0,10.3524,0.0,0.5749,0.0,0.1957,0.0,0.9992,0.0,0.3874,0.0
home_har_data,amplitude,XGBoost,1,0.218,0.0,0.218,0.0,0.1955,0.0,0.1955,0.0,0.1831,0.0,0.218,0.0,0.1831,0.0,0.218,0.0,0.0877,0.0,0.0897,0.0,0.4136,0.0,3.1944,0.0,0.6316,0.0,0.2022,0.0,0.9501,0.0,0.3797,0.0
home_har_data,amplitude_phase,RandomForest,1,0.1137,0.0,0.1137,0.0,0.0911,0.0,0.0911,0.0,0.0799,0.0,0.1137,0.0,0.0799,0.0,0.1137,0.0,-0.0341,0.0,-0.0361,0.0,0.4516,0.0,9.8763,0.0,0.5652,0.0,0.1959,0.0,1.0341,0.0,0.3836,0.0
home_har_data,amplitude_phase,XGBoost,1,0.2455,0.0,0.2455,0.0,0.2168,0.0,0.2168,0.0,0.2033,0.0,0.2455,0.0,0.2033,0.0,0.2455,0.0,0.1197,0.0,0.1227,0.0,0.3672,0.0,2.9835,0.0,0.6119,0.0,0.1878,0.0,1.0045,0.0,0.3518,0.0
home_har_data,amplitude_sanitized,RandomForest,1,0.1174,0.0,0.1174,0.0,0.0964,0.0,0.0964,0.0,0.0868,0.0,0.1174,0.0,0.0868,0.0,0.1174,0.0,-0.0297,0.0,-0.0317,0.0,0.4444,0.0,9.9637,0.0,0.5618,0.0,0.1907,0.0,1.0422,0.0,0.3689,0.0
home_har_data,amplitude_sanitized,XGBoost,1,0.2466,0.0,0.2466,0.0,0.2197,0.0,0.2197,0.0,0.2027,0.0,0.2466,0.0,0.2027,0.0,0.2466,0.0,0.1211,0.0,0.1236,0.0,0.3636,0.0,2.9919,0.0,0.5982,0.0,0.1867,0.0,1.0339,0.0,0.3545,0.0
home_har_data,rolling_variance,RandomForest,1,0.4525,0.0,0.4525,0.0,0.3802,0.0,0.3802,0.0,0.3451,0.0,0.4525,0.0,0.3451,0.0,0.4525,0.0,0.3612,0.0,0.3786,0.0,0.1939,0.0,4.458,0.0,0.4751,0.0,0.1739,0.0,1.2984,0.0,0.3584,0.0
home_har_data,rolling_variance,XGBoost,1,0.4397,0.0,0.4397,0.0,0.3733,0.0,0.3733,0.0,0.4031,0.0,0.4397,0.0,0.4031,0.0,0.4397,0.0,0.3464,0.0,0.3653,0.0,0.1837,0.0,2.4687,0.0,0.6173,0.0,0.2171,0.0,0.9838,0.0,0.4625,0.0
home_occupation_data,amplitude,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0046,0.0,0.0048,0.0,0.9954,0.0,0.0166,0.0,0.0198,0.0,0.0561,0.0
home_occupation_data,amplitude,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0007,0.0,0.0007,0.0,0.9993,0.0,0.0008,0.0,0.006,0.0,0.0047,0.0
home_occupation_data,amplitude_phase,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0061,0.0,0.0063,0.0,0.9939,0.0,0.0169,0.0,0.0281,0.0,0.0587,0.0
home_occupation_data,amplitude_phase,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0007,0.0,0.0007,0.0,0.9993,0.0,0.0007,0.0,0.006,0.0,0.0045,0.0
home_occupation_data,amplitude_sanitized,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0054,0.0,0.0056,0.0,0.9946,0.0,0.0164,0.0,0.0245,0.0,0.057,0.0
home_occupation_data,amplitude_sanitized,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009,0.0,0.0009,0.0,0.9991,0.0,0.0013,0.0,0.0074,0.0,0.0069,0.0
home_occupation_data,rolling_variance,RandomForest,1,0.9739,0.0,0.9739,0.0,0.974,0.0,0.974,0.0,0.9744,0.0,0.9739,0.0,0.9744,0.0,0.9739,0.0,0.9609,0.0,0.9611,0.0,0.1429,0.0,0.2161,0.0,0.831,0.0,0.1506,0.0,0.4374,0.0,0.2977,0.0
home_occupation_data,rolling_variance,XGBoost,1,0.9806,0.0,0.9806,0.0,0.9807,0.0,0.9807,0.0,0.9808,0.0,0.9806,0.0,0.9808,0.0,0.9806,0.0,0.9709,0.0,0.971,0.0,0.0234,0.0,0.0663,0.0,0.9579,0.0,0.0836,0.0,0.1287,0.0,0.1789,0.0
office_har_data,amplitude,RandomForest,1,0.8615,0.0,0.8603,0.0,0.8544,0.0,0.8352,0.0,0.9136,0.0,0.8615,0.0,0.8838,0.0,0.8603,0.0,0.8147,0.0,0.8329,0.0,0.0837,0.0,0.6369,0.0,0.8862,0.0,0.1487,0.0,0.2846,0.0,0.2919,0.0
office_har_data,amplitude,XGBoost,1,0.8413,0.0,0.8403,0.0,0.8248,0.0,0.8084,0.0,0.8948,0.0,0.8413,0.0,0.8697,0.0,0.8403,0.0,0.7872,0.0,0.8084,0.0,0.1173,0.0,0.8418,0.0,0.9587,0.0,0.0991,0.0,0.1187,0.0,0.2058,0.0
office_har_data,amplitude_phase,RandomForest,1,0.8615,0.0,0.8603,0.0,0.8524,0.0,0.8354,0.0,0.9081,0.0,0.8615,0.0,0.8818,0.0,0.8603,0.0,0.8143,0.0,0.8314,0.0,0.0882,0.0,0.641,0.0,0.8757,0.0,0.1509,0.0,0.316,0.0,0.2902,0.0
office_har_data,amplitude_phase,XGBoost,1,0.8413,0.0,0.8403,0.0,0.8253,0.0,0.8083,0.0,0.896,0.0,0.8413,0.0,0.8701,0.0,0.8403,0.0,0.7873,0.0,0.8087,0.0,0.1192,0.0,0.8395,0.0,0.9604,0.0,0.0996,0.0,0.1112,0.0,0.21,0.0
office_har_data,amplitude_sanitized,RandomForest,1,0.864,0.0,0.8628,0.0,0.8554,0.0,0.8388,0.0,0.909,0.0,0.864,0.0,0.8831,0.0,0.8628,0.0,0.8176,0.0,0.8341,0.0,0.0926,0.0,0.5666,0.0,0.8688,0.0,0.1559,0.0,0.3212,0.0,0.2942,0.0
office_har_data,amplitude_sanitized,XGBoost,1,0.8413,0.0,0.8403,0.0,0.8278,0.0,0.8081,0.0,0.9027,0.0,0.8413,0.0,0.8726,0.0,0.8403,0.0,0.7878,0.0,0.8106,0.0,0.1212,0.0,0.7974,0.0,0.9625,0.0,0.1023,0.0,0.1064,0.0,0.2147,0.0
office_har_data,rolling_variance,RandomForest,1,0.9018,0.0,0.9117,0.0,0.9024,0.0,0.8984,0.0,0.9148,0.0,0.9018,0.0,0.8972,0.0,0.9117,0.0,0.8684,0.0,0.8723,0.0,0.1819,0.0,0.5156,0.0,0.7279,0.0,0.1165,0.0,0.6822,0.0,0.2056,0.0
office_har_data,rolling_variance,XGBoost,1,0.9144,0.0,0.9209,0.0,0.9158,0.0,0.9092,0.0,0.9264,0.0,0.9144,0.0,0.9071,0.0,0.9209,0.0,0.8852,0.0,0.8883,0.0,0.0481,0.0,0.5745,0.0,0.92,0.0,0.1044,0.0,0.2497,0.0,0.2176,0.0
office_localization_data,amplitude,RandomForest,1,0.8999,0.0,0.9138,0.0,0.8948,0.0,0.8946,0.0,0.9119,0.0,0.8999,0.0,0.8973,0.0,0.9138,0.0,0.8636,0.0,0.8703,0.0,0.0652,0.0,1.3447,0.0,0.9223,0.0,0.1514,0.0,0.1755,0.0,0.3096,0.0
office_localization_data,amplitude,XGBoost,1,0.9075,0.0,0.9196,0.0,0.9056,0.0,0.8914,0.0,0.9283,0.0,0.9075,0.0,0.8926,0.0,0.9196,0.0,0.8748,0.0,0.8821,0.0,0.1295,0.0,0.6215,0.0,0.9283,0.0,0.1686,0.0,0.1292,0.0,0.287,0.0
office_localization_data,amplitude_phase,RandomForest,1,0.9023,0.0,0.9158,0.0,0.897,0.0,0.8966,0.0,0.9141,0.0,0.9023,0.0,0.8991,0.0,0.9158,0.0,0.8668,0.0,0.8735,0.0,0.0608,0.0,1.2671,0.0,0.9271,0.0,0.144,0.0,0.1735,0.0,0.3067,0.0
office_localization_data,amplitude_phase,XGBoost,1,0.9075,0.0,0.9196,0.0,0.9049,0.0,0.8924,0.0,0.9263,0.0,0.9075,0.0,0.8931,0.0,0.9196,0.0,0.8746,0.0,0.8817,0.0,0.1283,0.0,0.619,0.0,0.9282,0.0,0.169,0.0,0.1292,0.0,0.287,0.0
office_localization_data,amplitude_sanitized,RandomForest,1,0.9029,0.0,0.9163,0.0,0.8976,0.0,0.897,0.0,0.9146,0.0,0.9029,0.0,0.8996,0.0,0.9163,0.0,0.8676,0.0,0.8743,0.0,0.0593,0.0,1.2709,0.0,0.9278,0.0,0.1419,0.0,0.1735,0.0,0.3043,0.0
office_localization_data,amplitude_sanitized,XGBoost,1,0.9075,0.0,0.9196,0.0,0.9045,0.0,0.8932,0.0,0.9249,0.0,0.9075,0.0,0.8937,0.0,0.9196,0.0,0.8746,0.0,0.8815,0.0,0.1289,0.0,0.6182,0.0,0.929,0.0,0.1669,0.0,0.1294,0.0,0.2873,0.0
office_localization_data,rolling_variance,RandomForest,1,0.9029,0.0,0.9122,0.0,0.9005,0.0,0.8845,0.0,0.9215,0.0,0.9029,0.0,0.8847,0.0,0.9122,0.0,0.8684,0.0,0.8753,0.0,0.1017,0.0,0.3035,0.0,0.8085,0.0,0.1851,0.0,0.4462,0.0,0.3423,0.0
office_localization_data,rolling_variance,XGBoost,1,0.8719,0.0,0.8823,0.0,0.87,0.0,0.8451,0.0,0.9081,0.0,0.8719,0.0,0.8568,0.0,0.8823,0.0,0.8276,0.0,0.8396,0.0,0.0417,0.0,0.2969,0.0,0.9136,0.0,0.1306,0.0,0.2156,0.0,0.2598,0.0
